phrog_id	phrog	annot	category
2465	phrog_2465	NA	unknown function
2466	phrog_2466	Rz-like spanin	lysis
2467	phrog_2467	NA	unknown function
2468	phrog_2468	head morphogenesis	head and packaging
2469	phrog_2469	NA	unknown function
2470	phrog_2470	membrane protein	moron, auxiliary metabolic gene and host takeover
2471	phrog_2471	NA	unknown function
2472	phrog_2472	NA	unknown function
2473	phrog_2473	NA	unknown function
2474	phrog_2474	MerR-like transcriptional regulator	transcription regulation
2475	phrog_2475	NA	unknown function
2476	phrog_2476	NA	unknown function
2477	phrog_2477	NA	unknown function
2478	phrog_2478	DNA polymerase/primase	DNA, RNA and nucleotide metabolism
2479	phrog_2479	NA	unknown function
2480	phrog_2480	NA	unknown function
2481	phrog_2481	NA	unknown function
2482	phrog_2482	NA	unknown function
2483	phrog_2483	NA	unknown function
2484	phrog_2484	RecJ-like ssDNA exonuclease	DNA, RNA and nucleotide metabolism
2485	phrog_2485	NA	unknown function
2486	phrog_2486	NA	unknown function
2487	phrog_2487	NA	unknown function
2488	phrog_2488	DNA helicase	DNA, RNA and nucleotide metabolism
2489	phrog_2489	exonuclease	DNA, RNA and nucleotide metabolism
2490	phrog_2490	NA	unknown function
2491	phrog_2491	major tail protein	tail
2492	phrog_2492	NA	unknown function
2493	phrog_2493	NA	unknown function
2494	phrog_2494	minor head protein	head and packaging
2495	phrog_2495	NA	unknown function
2496	phrog_2496	NA	unknown function
2497	phrog_2497	internal head protein	head and packaging
2498	phrog_2498	NA	unknown function
2499	phrog_2499	NA	unknown function
2500	phrog_2500	NA	unknown function
2501	phrog_2501	NA	unknown function
2502	phrog_2502	NA	unknown function
2503	phrog_2503	NA	unknown function
2504	phrog_2504	NA	unknown function
2505	phrog_2505	NA	unknown function
2506	phrog_2506	exonuclease	DNA, RNA and nucleotide metabolism
2507	phrog_2507	NA	unknown function
2508	phrog_2508	holin	lysis
2509	phrog_2509	replication initiation protein	DNA, RNA and nucleotide metabolism
2510	phrog_2510	NA	unknown function
2511	phrog_2511	HTH DNA binding protein	DNA, RNA and nucleotide metabolism
2512	phrog_2512	NA	unknown function
2513	phrog_2513	NA	unknown function
2514	phrog_2514	DnaD-like helicase loader	DNA, RNA and nucleotide metabolism
2515	phrog_2515	partition protein	DNA, RNA and nucleotide metabolism
2516	phrog_2516	NA	unknown function
2517	phrog_2517	NA	unknown function
2518	phrog_2518	NA	unknown function
2519	phrog_2519	NA	unknown function
2520	phrog_2520	gamma-glutamyl cyclotransferase	moron, auxiliary metabolic gene and host takeover
2521	phrog_2521	NA	unknown function
2522	phrog_2522	major head protein	head and packaging
2523	phrog_2523	NA	unknown function
2524	phrog_2524	NA	unknown function
2525	phrog_2525	NA	unknown function
2526	phrog_2526	NA	unknown function
2527	phrog_2527	NA	unknown function
2528	phrog_2528	NA	unknown function
2529	phrog_2529	NA	unknown function
2530	phrog_2530	NA	unknown function
2531	phrog_2531	NA	unknown function
2532	phrog_2532	NA	unknown function
2533	phrog_2533	NA	unknown function
2534	phrog_2534	released from the phage upon host infection	other
2535	phrog_2535	NA	unknown function
2536	phrog_2536	Rz-like spanin	lysis
2537	phrog_2537	NA	unknown function
2538	phrog_2538	terminase small subunit	head and packaging
2539	phrog_2539	NA	unknown function
2540	phrog_2540	NA	unknown function
2541	phrog_2541	NA	unknown function
2542	phrog_2542	NA	unknown function
2543	phrog_2543	NA	unknown function
2544	phrog_2544	NA	unknown function
2545	phrog_2545	head-tail adaptor Ad1	connector
2546	phrog_2546	NA	unknown function
2547	phrog_2547	NA	unknown function
2548	phrog_2548	NA	unknown function
2549	phrog_2549	NA	unknown function
2550	phrog_2550	NA	unknown function
2551	phrog_2551	minor tail protein	tail
2552	phrog_2552	NA	unknown function
2553	phrog_2553	NA	unknown function
2554	phrog_2554	NA	unknown function
2555	phrog_2555	NA	unknown function
2556	phrog_2556	NA	unknown function
2557	phrog_2557	virion structural protein	head and packaging
2558	phrog_2558	NA	unknown function
2559	phrog_2559	NA	unknown function
